Argument ID	Conclusion	Stance	Premise
A09077	We should legalize sex selection	against	sex selection can lead to an over abundance of a favored gender in society
A09079	We should abolish intellectual property rights	against	a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.
A09080	We should cancel pride parades	against	pride parades are a platforms for minority groups to spread awareness about discrimination and abuse
A09082	We should ban factory farming	in favor of	Animals should not have to suffer to save a few dollars.   Businesses need to have better morals and treating animals with care should be a top priority regardless of the cost.   It also hurts small farmers.
A09083	We should ban telemarketing	in favor of	telemarketing preys on people who are vulnerable and easily conned, such as the elderly.
A09085	We should subsidize embryonic stem cell research	against	we should not subsidize embryonic stem cell research because it can harm life of a person once it is not done successfully
A09086	We should ban algorithmic trading	against	algorithmic trading provides people with more opportunities when it comes to trading.
A09089	We should legalize organ trade	in favor of	legalizing organ trade would being about more healthy organs and tissue for transplanting then currently is available.
A09091	We should adopt an austerity regime	in favor of	living within one's fiscal means is important
A09093	We should end mandatory retirement	in favor of	You do not become unqualified for a job simply because you reach retirement age.
A09094	We should adopt libertarianism	in favor of	we should adopt libertarianism because it cause less outside interference in your personal life
A09096	We should subsidize space exploration	against	space exploration is a waste of money that could be used to feed people
A09097	We should abolish the right to keep and bear arms	against	people have a right to be able to defend themselves  and their loved ones
A09098	We should ban targeted killing	in favor of	it is really just another name for assassination
A09100	We should ban targeted killing	in favor of	targeted killing is like hiring a hitman except the government gets away with it.
A10002	We should ban cosmetic surgery for minors	in favor of	minors are too young to know what they are doing so make them wait until they are adults and better able to make these types of decisions
A10003	We should end the use of economic sanctions	in favor of	we should end all economic sanctions because they cause harm to both countries by preventing free trade which in turn will cause an economic downturn.
A10004	We should subsidize journalism	against	aren't subsidies opening the door for manipulating journalists and inducing media bias in favor of the government?
A10005	We should ban fast food	in favor of	fast foods are extremely high in calories, and it's easy for a person to exceed the recommended number of calories when they eat fast foods
A10007	We should ban cosmetic surgery for minors	against	minors should be allowed to have cosmetic surgery as long as their parents help make the decision. some cosmetic surgery would make a child with a deformity have better self esteem.
A10009	We should legalize cannabis	against	Despite the propaganda, marijuana is actually more addictive than alcohol, the latter of which can be occasionally.
A10011	We should limit judicial activism	in favor of	the rulings offer a precedent and will become final, despite it potentially overriding any laws.
A10012	We should abolish zoos	against	they should not abolish zoos since many are in danger of extinction, which need strategic places for scientific study or the collection of funds to finance projects.
A10013	We should abolish capital punishment	in favor of	capital punishment is seen as a cruel and inhumane way of treating prisoners.
A10014	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance policies keep schools safer by immediately removing the problem
A10015	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is enshrined in the constitution and cannot be infringed on or revoked - this would dilute the importance and sanctity of other doctrines.
A10016	We should limit judicial activism	in favor of	judicial activism should be limited or altogether removed based on the fact that it is done from a feeling or thought rather than from the law
A10017	We should ban the use of child actors	against	we shouldn't ban the use of child actors because it is a way for children to find a career early in their life
A10018	We should end mandatory retirement	in favor of	some older workers love their job and would be devastated to be forced to stop working
A10020	We should abolish capital punishment	against	capital punishment is a real deterant to crime and should not be abolished.
A12001	We should oppose collectivism	in favor of	collectivism reduces productivity from individuals as they have no incentive to do better.
A12002	We should ban cosmetic surgery for minors	against	minors should be allowed plastic surgery, so long as they get consent from their parents and the plastic surgeon.
A12003	We should subsidize student loans	in favor of	students should be able to pursue higher education without worrying about being able to afford it. subsidizing students loans would make education more accessible.
A12004	We should end the use of economic sanctions	in favor of	economic sanctions is bullying and it will not result in the country complying or changing their policies.
A12005	We should fight for the abolition of nuclear weapons	in favor of	There is no justification for mass destruction. Therefore, nuclear weapons are inherently immoral. Same as private persons should not be able to own assault weapons, the states should be barred from creating and owning nuclear weapons.
A12006	We should ban the Church of Scientology	in favor of	the church of scientology is a dangerous cult that has caused psychological harm to some of its members and has held some members against their will
A12007	We should abolish the Olympic Games	in favor of	without being able to completely erradicate drug taking the olympic games is not an accurate representation of the skill of the sportsmen, making it an outdated and irrelevant competition.
A12008	We should fight for the abolition of nuclear weapons	in favor of	no one wins with nuclear weapons. if two or more countries nuked each other parts of, if not all of, the entire world is just gone. it destroys everything and solves nothing.
A12010	We should adopt a multi-party system	against	multi-party systems slow down what gets done because we have too many different sides trying to come to an agreement
A12014	We should introduce compulsory voting	against	not everyone has a strong opinion on every topic.  those who choose not to participate should have the freedom not to.
A12015	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research helps to provide innovations in cancer treatment as well as help in the treatment of patient's with diseases such as parkinson's disease, subsidizing would allow for more funding.
A12016	We should end mandatory retirement	against	mandatory retirement creates employment opportunities for the younger generation of workers, who would otherwise be increasingly shunted out.
A12019	We should abolish the Olympic Games	against	the olympics have long been the goal for athletes to aim for to be the very best so abolishing the games would take away their dreams and ambitions.
A12022	We should legalize sex selection	in favor of	we should legalize sex selection because the parents are free to decide what gender they want
A12023	We should limit judicial activism	against	judicial activism allows for a check on decrees made by one branch of the government that may think that drastic action is needed for every situation.
A12024	We should legalize organ trade	in favor of	people should be allowed to get organs from other countries by buying them if the wait list for their transplant is too long and they are at risk of dying.
A12025	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons are destructive and unnecessary
A12026	We should ban human cloning	against	we should allow human cloning as this will be beneficial to scientific advances in the future.
A12028	We should abolish intellectual property rights	against	Intellectual property rights keep people from stealing others' ideas and selling them as their own.
A12030	We should abolish the Olympic Games	in favor of	the olympic games are usually a drain on the economy of the host city
A12031	We should cancel pride parades	in favor of	there are things at pride parades that young children should not see, regardless of one's sexual preferences.
A12032	We should adopt a zero-tolerance policy in schools	against	students should be able to state their opinions and by so learn to mature.  by punishing at first sign of disobedience we are just have conformity not learning.
A12036	We should ban algorithmic trading	against	ai is the future and algorithmic trading is simply a form of ai that makes the most of trading opportunities which will be the norm in the not to distant future.
A12037	We should cancel pride parades	against	pride parades are important to understanding others
A12038	We should abolish zoos	in favor of	Zoos are too small and do not provide animals with the space and habitat that they are born to.
A12039	We should ban the use of child actors	in favor of	we are exploiting the youth purely for entertainment
A12042	We should abolish safe spaces	in favor of	we should abolish safe spaces because those who are easily offended need to grow up
A12043	We should abandon the use of school uniform	in favor of	we should abandon the use of school uniform because people need to be free to express their thoughts on clothing
A12044	We should adopt atheism	in favor of	adopting atheism would put a stop to conflicts that arise through conflicting religious beliefs making the world a safer place.
A12046	We should ban factory farming	against	factory farming is efficient and lowers food production costs.
A12049	We should limit executive compensation	against	we should not limit executive compensation because it is their company that they started, they have a right to the profits.
A12050	We should ban cosmetic surgery for minors	in favor of	Allowing cosmetic surgery for minors makes it easy for minors to pressure well-intentioned parents even if it is objectively a bad decision. A ban prevents parents from being put in this situation.
A12051	We should ban human cloning	in favor of	this is a slippery slope and cloning could be used for terrible purposes. it is dangerous to open this door.
A12053	We should ban factory farming	against	we should not ban factory farming because it helps to keep up with demand for food.
A12057	We should adopt gender-neutral language	in favor of	gender-neutral language is simply a natural progression in a society based on sexual equality - there is no reason for textual dominance, and such neutrality serves to gradually temper preconceptions.
A12058	We should subsidize embryonic stem cell research	in favor of	we should subsidize embryonic stem cell research because it is necessary for the betterment of the human race. we may find cures for aging, diseases, or create new stronger genes.
A12059	We should prohibit school prayer	in favor of	Schools now contain students of all religions and of none, by forcing these students to pray in schools you are infringing on their human rights, prayer is personal not public in school.
A12060	We should end mandatory retirement	against	a mandatory retirement age helps employers regularly refresh the workforce with fresh talent
A12061	We should ban targeted killing	in favor of	there is never a justifiable reason to kill someone.
A12063	We should adopt an austerity regime	in favor of	austerity regimes provide an avenue for the government to balance up financial deficits and save the country from economic collapse
A12064	We should subsidize embryonic stem cell research	in favor of	supporting embryonic stem cell research is important because it is the future of medicine and it can help scientists to find new cures for diseases.
A12065	We should stop the development of autonomous cars	in favor of	they can be more dangerous than human drivers
A12066	We should ban human cloning	against	human cloning gives the chance for individuals to have a child that might not otherwise be able to
A12067	We should abolish zoos	in favor of	zoos should be abolished so that animals can thrive in a setting that allows them to roam free
A12068	We should subsidize student loans	against	studen loans cannot be subsidised as not only is it unaffordable in the current climate, it would encourage universities offer degree courses purely for financial gain.
A12069	We should limit judicial activism	against	judicial activism is sometimes the best way to get things done
A12071	We should ban whaling	against	whaling should be allowed when it will help to revive dwindling fish populations.
A12072	We should subsidize space exploration	in favor of	space exploration is the next frontier.
A12075	We should end mandatory retirement	against	mandatory retirement is needed to keep businesses new and fresh with innovation from the younger generation.
A12076	We should abolish capital punishment	in favor of	There is ample evidence showing that capital punishment does not constitute effective deterrence.
A12077	We should subsidize student loans	against	there are other ways to channel student aid that is not subsidizing loans
A12078	We should ban algorithmic trading	in favor of	even if an algorithm can react quicker than a person, it can't predict markets accurately
A12079	We should ban targeted killing	against	we should not ban targeted killing since they are effective at eliminating terrorists with a smaller number of civilians being killed than most other military weapon
A12080	We should prohibit school prayer	against	EVERYONE SHOULD BE ABLE TO PRAY IF THEY WANT TO WEATHER IN SCHOOL OR IN A CHURCH
A12082	We should subsidize Wikipedia	in favor of	wikipedia is a wonderful source of information for students and adults alike.
A12083	We should ban telemarketing	against	telemarketing shouldn't be banned, this is a free country and people have the right to call others and solicit items.
A12085	We should legalize sex selection	in favor of	when we allow abortion for any reason or purpose, sex selection cannot be excluded. in fact illegal sex selection only increased abortions as the alternative method to select gender
A12086	We should subsidize space exploration	against	we should not subsidize space exploration because there are far more important things to spend public money on closer to home such as healthcare, education and transport infrastructure
A12087	We should adopt a multi-party system	in favor of	a multi-party system allows for more options and candidates that are more in line with certain populations as not everyone has the same political views.
A12088	We should abolish capital punishment	in favor of	The death penalty is an old-fashioned, outdated, inhumane practice and must be abolished
A12089	We should abolish zoos	in favor of	we should abolish zoos because it dangerous and not good for the animals to be out of their natural habitat just for the purpose of human entertainment
A12090	We should legalize sex selection	in favor of	parents should be able to choose what sex child they are going to have.
A12092	We should abolish intellectual property rights	in favor of	it can be expensive to maintain property rights and therefore it should be abolished so that everyone has an even chance.
A12094	We should ban algorithmic trading	against	algorithmic trading allows for greater numbers of trades to happen, getting more people involved in the economy
A12095	We should abolish the Olympic Games	against	the olympic games offer a friendly competition meeting where the best athletes around the world can come together to celebrate the best of human physical achievement.
A12096	We should subsidize journalism	against	when you subsidize journalism you are making the reporting agency less likely to report anything bad about the place that is providing the funding. therefore you are getting less accurate news.
A12099	We should end mandatory retirement	against	the companies that have the mandatory retirement policy maintain a rotation of employees fresher and updated with the new times
A12100	We should abandon the use of school uniform	against	pupils having to dress in school uniform means no one is singled out for not being able to afford expensive clothes.
A12102	We should ban cosmetic surgery	in favor of	cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
A12104	We should ban the Church of Scientology	against	we shouldn't ban the church of scientology because it is a way to study the nature of life
A12106	We should ban the use of child actors	against	child actors should be allowed to work and contribute their talents to society.
A12107	We should abolish the Olympic Games	against	the olympic games are a testament to the spirit of amateur athleticism.
A12109	We should adopt libertarianism	in favor of	libertarianism removes the big brother tyranny of big government and allows more freedom for the people
A12110	We should adopt gender-neutral language	against	we shouldn't have to adopt a gender neutral language, i think people should just understand that people speak languages in different ways and they should be acceptable of that.
A12111	We should ban algorithmic trading	against	algorithmic trading is cost effective because it is timely and accurate.
A12112	We should ban fast food	against	we shouldn't ban fast food because it is an affordable option for people that might not be able to get hot food otherways.
A12113	We should ban cosmetic surgery for minors	against	every one has the right to choose what they want to do with their bodies, it isn't in our place to decide if cosmetic surgery is bad for minors.
A12115	We should oppose collectivism	against	collectivism takes care of an entire group's need vs just one persons.
A12116	We should legalize cannabis	against	The Highway Loss Data Institute found an increased collision and crash risk in legal marijuana states
A12117	We should adopt an austerity regime	in favor of	It would help people spend less money, which would be good for the economy.
A12118	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons are very volatile and should be done away with.
A12119	We should legalize organ trade	against	Selling organs is dangerous, leading to many deaths on the operating table.
A12121	We should legalize sex selection	against	allowing sex selection could lead to an imbalance of the genders in the population.
A12122	We should fight for the abolition of nuclear weapons	against	nuclear weapons help keep peace. it's an assurance policy. everyone knows that everyone loses if nuclear war breaks out. this keeps countries in line so as not to provoke a nuclear attack.
A12123	We should abolish safe spaces	against	everyone needs a place where they can be accepted without judgment.
A12124	We should end the use of economic sanctions	against	economic sanctions work as intended and getting rid of them would make it more difficult to punish offending countries.
A12126	We should legalize cannabis	against	cannabis has never been scientifically proven to help any conditions.
A12128	We should abolish intellectual property rights	in favor of	intellectual property rights should be abolished since it doesn't allow the sharing of ideas
A12129	We should legalize prostitution	against	prostitution is linked to many rapes, molestation and murders of young women.
A12131	We should ban factory farming	against	factory farming reduces the cost of food
A12132	We should subsidize space exploration	in favor of	we need to subsidize space exploration in order to find an inhabitable planet we can live on when we finally destroy the one we live on now.
A12135	We should abolish capital punishment	in favor of	many innocent lives were being taken by this profoundly flawed practice
A12136	We should abolish capital punishment	against	some people can not be rehabilitated and will only continue their violent acts unless they are put to death.
A12140	We should ban the Church of Scientology	against	if people feel personal satisfaction within scientology, i do not see why we have to prohibit it.
A12143	We should subsidize student loans	in favor of	too many students have defaulted on loans or are paying them for many years.  by subsidizing these students we can assist in stopping this.
A12145	We should ban missionary work	in favor of	if we ban missionary work, then a lot less people would be seeing propaganda.
A12146	We should ban the Church of Scientology	in favor of	we should ban the church of scientology because they brainwash their members into giving them huge sums of money.
A12148	We should ban cosmetic surgery	against	we should not ban cosmetic surgery because there are some people that are seriously need it done to improve their lifestyles
A12150	We should legalize sex selection	in favor of	parents have every right to decide whether they give birth to a boy or a girl.
A12154	We should ban targeted killing	against	based on the reason for targeted killing, in some cases this does make sense.  if a person is a serial murderer, and he is caught in gun fire, this type of killing of the murderer is warranted.
A12155	We should ban human cloning	in favor of	human cloning is unethical and has repercussions that we do not even know yet.
A12156	We should stop the development of autonomous cars	against	autonomous cars would help people who are disabled be able to have their own transportation.
A12157	We should ban the use of child actors	in favor of	child actors miss out on socialization with kids their own age and fall behind in school
A12161	We should abolish capital punishment	against	Capital punishment provides closure for victim's families who can be reassured that the perpetrator can literally never harm anyone again.
A12162	We should abandon the use of school uniform	against	school uniforms allow children to attend school without peer pressure on clothing.
A12163	We should ban factory farming	against	factory farming has allowed the prices of food to drop drastically.
A12164	We should abolish the three-strikes laws	against	a criminal will think twice about committing a crime knowing that the next crime he commits might mean life imprisonment.
A12166	We should ban algorithmic trading	against	algorithmic trading is faster and more accurate than human guesswork and so provides greater value to shareholders.
A12167	We should ban private military companies	against	the state can not have exclusivity in the creation of weapons, leaving aside private capital as a source of technological innovations for our defense
A12170	We should ban cosmetic surgery for minors	in favor of	children's brains have not matured and developed enough to make life long choices with regards to under going cosmetic surgery.
A12171	We should legalize prostitution	against	legalising prostitution could lead to more serious crimes such as women becoming involved in the drug trade or people trafficking.
A12172	We should limit judicial activism	against	judicial activism is an important part of our country.
A12173	We should adopt gender-neutral language	in favor of	With genders now being more equal than ever, and gender neutrality growing exponentially the old gendered language is just a historic anachronism.
A12174	We should abolish the three-strikes laws	in favor of	it is unfair to convict someone for a third crime that isn't dependent of the crime's magnitude
A12175	We should cancel pride parades	against	pride parades are a necessary step towards bringing awareness to the world that all human beings deserve respect and acceptance.
A12177	We should abolish safe spaces	against	safe spaces are essential to people struggling its mental health problems and getting rid of them would increase their likelihood of abusing drugs to cope.
A12179	We should abolish intellectual property rights	against	having intellectual property rights is a deterrent for those that would steal another persons ideas and creations so we must not abolish that.
A12181	We should abolish safe spaces	in favor of	We should abolish safe spaces because they put public funding for universities at risk, due to backlash from right wing legislatures.
A12182	We should ban the use of child actors	in favor of	making a child work as an actor deprives them of childhood experiences and interactions.
A12183	We should oppose collectivism	in favor of	collectivism removes an individual's right to promote their private interests and exercise autonomy
A12184	We should legalize prostitution	in favor of	if prostitution was legal then the people would be able to be better protected and diseases could be controlled more.
A12185	We should ban private military companies	in favor of	private military companies should be banned as they are not subject to military laws
A12187	We should adopt a multi-party system	against	amulti-party system can lead to unstable coalitions in order to get into power
A12188	We should ban factory farming	in favor of	factory farming should be banned as the animals in these farms are held in bad conditions.
A12189	We should limit judicial activism	against	judicial activism must be supported by all means because judges  knows law and they acting inside the law by judicial activism.
A12191	We should end the use of economic sanctions	against	economic sanctions make items made in foreign countries and shipped here more affordable for struggling americans.
A12194	We should ban human cloning	against	cloning humans can allow us to advance science and medicine in ways which could save millions of lives by producing organs, stem cells, etc., for those in need.
A12195	We should ban factory farming	in favor of	factory farming creates health hazards and leads to an increase in pollution.  overall it is bad for the environment
A12199	We should adopt atheism	against	people are entitled to believe in any god that they choose to believe in. as religion offers comfort, aatheism should not be adopted.
A12203	We should ban targeted killing	in favor of	we should definitely ban targeted killing because the loss of life should never be a planned event.
A12206	We should ban whaling	against	whaling is part of a great number of cultures
A12207	We should ban targeted killing	against	We should not ban targeted killing as it is the only way to deal with particular criminals who are otherwise not able to be captured or killed.
A12209	We should ban human cloning	in favor of	human cloning is very open to abuse and could be used for the wrong things
A12210	We should abolish safe spaces	in favor of	safe spaces should be abolished as this it just makes our society weak.
A12212	We should ban fast food	in favor of	fast food is known to contain unhealthy fats and no necessary nutrients
A12213	We should oppose collectivism	in favor of	collectivism doesn't allow people to stand up on their own for what they believe in
A12215	We should abolish zoos	in favor of	zoos force animals into an existence outside of their natural habitat for our viewing pleasure.  it is not right to subject them to such an environment.
A12216	We should limit judicial activism	against	judicial activism can highlight wrong legislation, or deliver accurate justice that cannot be addressed through the existing laws
A12217	We should ban cosmetic surgery for minors	in favor of	Cosmetic surgery promotes a capitalistic society that focuses on solving problems with money rather than personal acceptance.
A12218	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance policies are helpful as they stop children misbehaving
A12221	We should ban whaling	in favor of	we should ban whaling because there is very little profit in the business and does nothing but kill fairly rare animals.
A12222	We should adopt a multi-party system	against	too many choices in political parties separates people in a country instead of helping them to unite.
A12223	We should adopt gender-neutral language	against	we should not adopt gender-neutral language because no reason to change the way people have been speaking for hundreds of years
A12224	We should ban factory farming	against	factory farming is necessary in our society as a way to control and protect the environment in which the animals are living so they are not subjected to disease and predators.
A12226	We should legalize cannabis	in favor of	cannabis is no more harmful than cigarettes or alcohol, and no more addictive than the two.
A12227	We should subsidize student loans	in favor of	It's bad enough having to take out a student loan in the first place, but even more students from poorer backgrounds will be reluctant to go into higher education if their student loans aren't subsidized.
A12228	We should stop the development of autonomous cars	against	autonomous cars will reduce the human margin of error to near zero and make for a safer commute.
A12229	We should subsidize embryonic stem cell research	against	i don't think tax dollars should be going towards researching embryonic stem cells.   there is much better usage for our money than that.   we do not need to subsidize this.
A12230	We should ban telemarketing	in favor of	telemarketing targets the weak and encourages them to buy what they can't afford.
A12231	We should ban private military companies	in favor of	private military companies are a threat to our democracy and should not be tolerated anymore
A12232	We should subsidize journalism	in favor of	journalism has been an important profession.
A12233	We should adopt atheism	in favor of	Atheism is a valid form of thinking just as many controlled religions. We should adopt and accept it as we do with other beliefs.
A12234	We should limit judicial activism	against	all avenues should be looked at, not just the supposedly straight forward.
A12235	We should oppose collectivism	in favor of	collectivism gives the group priority over individual needs - this would be very unfair for some individuals who may have a higher or different need than the majority of the group
A12236	We should adopt a multi-party system	in favor of	A multi-party system allows for greater choice in whom to vote for.  It allows each citizen to vote for the party that best fits their beliefs and represents their ideology.
A12238	We should ban algorithmic trading	against	programmes will always evolve to make better use of trading practices, so holding people back from using algorithmic trading will only serve to slow down progress.
A12239	We should cancel pride parades	against	gay people have suffered alot over the decades and should be entitled to have a parade celebrating their sexuality.
A12240	We should adopt gender-neutral language	in favor of	if everything was spoken about gender neutrally then no one would be offended.
A12241	We should subsidize Wikipedia	against	the open source nature of wikipedia means anyone can add gibberish and falsehood in its contents thereby making it unreliable.
A12242	We should ban missionary work	against	Missionary work has helped to civilize entire socities.
A12244	We should abolish the right to keep and bear arms	against	the ability to keep and use firearms is instrumental in a person's ability to persue safety, life and liberty
A12245	We should adopt atheism	against	many people use religion to connect with their family as well as loved ones that are no longer alive - losing this comforting connection would be devastating for some.
A12249	We should ban private military companies	against	private military companies provide additional soldiers in places where it is necessary
A12251	We should abandon the use of school uniform	in favor of	Adolescents can be very self-conscious about their appearance. If a student thinks their uniform is unflattering, it may cause them discomfort and embarrassment.
A12252	We should legalize organ trade	in favor of	we should legalize organ trade because many people who are in need of organs have trouble getting good organs.
A12253	We should ban private military companies	against	we should not ban private military companies because they protect people
A12256	We should ban fast food	against	banning fast food is an example of regulations which take away our right to freedom.
A12257	We should abolish the right to keep and bear arms	in favor of	we should abolish the right to keep and bear arms as this right has gotten out of hand with too many mass shootings.
A12258	We should abolish the Olympic Games	in favor of	the olympic games are too expensive to be held
A12259	We should ban whaling	in favor of	whaling should be banned because it harms economic activity that's generated by whale watching
A12260	We should end mandatory retirement	against	certain professions, such as police officer and air traffic controller, have mandatory retirement ages  to ensure that the person who is responsible for the safety of others remains competent to do his job
A12262	We should adopt libertarianism	in favor of	libertarianism allows the expression of free will and would make society more interesting by allowing people to be as they truly are.
A12265	We should legalize cannabis	in favor of	bannabis should be legalized as it has been proven to have medical benefits that outweigh any negative effects. it will also remove it from the control of criminals and gangsters
A12266	We should cancel pride parades	against	cancelling pride parades goes against what they stand for.  those parades are vital for spreading acceptance.
A12268	We should adopt gender-neutral language	against	gender-neutral language will cause confusion if we don't know who is being referred to
A12269	We should adopt a zero-tolerance policy in schools	against	it is unfair on those being bullied to punish them the same as you punish the bully
A12273	We should introduce compulsory voting	against	some people do not feel capable of exercising such a responsibility
A12275	We should abolish zoos	in favor of	zoos trap animals into a meaningless life only to amuse human onlookers
A12276	We should ban cosmetic surgery	in favor of	cosmetic surgery is dangerous and should be banned.
A12277	We should subsidize Wikipedia	against	those authoring articles on wikipedia are not necessarily experts on the topic and there is risk of inaccurate information being broadcast.
A12278	We should legalize organ trade	against	we would end up in bidding wars where only the rich could be helped
A12279	We should ban human cloning	in favor of	we should ban human cloning because playing god can be dangerous.
A12283	We should limit executive compensation	in favor of	we should limit executive compensation for national ecomics
A12285	We should oppose collectivism	in favor of	collectivism is unfair to large populations and should be stopped
A12286	We should limit executive compensation	in favor of	CEO's make 100 times what an average worker make and they do not actually generate any capital.
A12287	We should introduce compulsory voting	in favor of	turn out figures are unacceptably low, we need to motivate people to be active voters for a representative democracy
A12288	We should ban algorithmic trading	in favor of	we should ban algorithmic trading because most people have no idea how it works and if it is good for them or not
A12289	We should abolish zoos	in favor of	zoos aren't all properly regulated and some animals are kept in appalling conditions they should be left in their natural environment
A12291	We should limit judicial activism	in favor of	we should limit judicial activism as it goes outside the set laws and eventually could go to far to one person creating their own agendas.
A12292	We should stop the development of autonomous cars	against	autonomous cars will allow people to do more instead of wasting time in traffic
A12293	We should introduce compulsory voting	in favor of	compulsory voting would make the election practice fairer.
A12295	We should ban fast food	against	fast food is good for busy people allowing the to pick up something to eat on the go.
A12297	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons create such irreversible damage that we should all agree to remove them as an option.
A12298	We should ban fast food	against	Some fast food restaurants offer healthy alternatives and provide a quick , nutritious meal on-the-go.
A12300	We should ban whaling	against	most whaling is done under controlled situations, and is done for research purposes.
A12301	We should abolish capital punishment	against	strict capital punishment brings justice and closure to the victim's family
A12302	We should adopt a zero-tolerance policy in schools	against	zero tolerance leaves no room for individual cases where it may do more harm than good
A12303	We should limit executive compensation	in favor of	excessive wages damage company profitabity and is an abuse of the shareholders
A12304	We should subsidize Wikipedia	in favor of	wikipedia is not free to run even if it is free to users. subsidization would help keep it free for users.
A12305	We should abolish the Olympic Games	against	the olympic games allow for true amateur athletes to live out their dreams.
A12307	We should abolish the Olympic Games	in favor of	it costs too much to build for the games and never use those buildings again
A12308	We should legalize cannabis	against	sale of cannabis should not be legalized because it is a dangerous drug and as such is a public health concern
A12310	We should adopt libertarianism	in favor of	libertarianism promotes political freedom of choice as its core value, and is the ultimate expression of democracy.
A12312	We should ban missionary work	in favor of	missionary work should be banned as it can be abused and vulnerable people can be taken advantage of
A12314	We should subsidize student loans	in favor of	people should be able to go to school and better themselves without having to pay back thousands of dollars when they graduate.
A12315	We should adopt a zero-tolerance policy in schools	against	as americans we are granted the right of due process. sometimes there are extenuating circumstances that must be taken into account.
A12316	We should cancel pride parades	in favor of	parades bring in homophobic people that bully the members of the parade.
A12317	We should ban private military companies	against	we shouldn't ban private military companies as they are doing a job and keeping people safe
A12318	We should adopt an austerity regime	in favor of	an austerity regime is the most effective way to reduce the national debt.
A12319	We should abolish the three-strikes laws	against	we shouldn't abolish the three strikes law because it is necessary to ensure society understands the ramifications of repeated ill behavior. three felonies is just about enough as far as i'm concerned.
A12320	We should abolish zoos	against	zoos bring a lot of money in which can be spent on animal research and stop their extinction.
A12322	We should adopt gender-neutral language	against	we should not place any restrictions on freedom of speech, many of the restrictions are arbitrary and unnecessary such as the "gingerbread man" becoming the "gingerbread person"
A12326	We should ban the use of child actors	in favor of	the use of child actors exploits a child and can have negative effects on them
A12327	We should abolish the right to keep and bear arms	against	we should not abolish the right to keep and bear arms because it is a constitutional right to own weapons to protect ourselves.
A12328	We should ban telemarketing	in favor of	telemarketing is annoying for people as they do not request a phone call and vunerable people such as the elderly often feel threatened into taking part.
A12329	We should abolish safe spaces	against	safe spaces allow individuals a place to feel comfortable without having to worry about feeling judged for who they are or whom they love.
A12330	We should abolish safe spaces	in favor of	safe spaces equal non-free speech spaces and that is against the law.
A12331	We should oppose collectivism	in favor of	we should definitely oppose collectivism because there is less autonomy in terms of thoughts and ideas. everyone will just go along with the group.
A12332	We should limit executive compensation	against	an executive has worked hard to get to that position through study and prior work experience. they should be compensated for their value to the company.
A12333	We should stop the development of autonomous cars	in favor of	autonomous cars can be hacked and become a dangerous weapon for evil persons
A12334	We should adopt an austerity regime	against	austerity regimes hurt the common man by reducing support for schools and health care.
A12336	We should legalize prostitution	in favor of	We should legalize prostitution since it should be out in the open. controlled and supervised- instead of hidden. this is most efficient way to improve sex workers conditions and pave their way to independence.
A12337	We should fight for the abolition of nuclear weapons	in favor of	The possession of nuclear weapons is illegal under international humanitarian law.
A12339	We should limit judicial activism	in favor of	judicial activism undermines the rule of law
A12342	We should oppose collectivism	against	collectivism enables communities to work together for the greater good.
A12343	We should ban cosmetic surgery	in favor of	plastic surgery can cause many complications and infections and does not address the underlying self esteem issues of the patient
A12345	We should ban whaling	in favor of	whaling is wiping out species for little in return.
A12346	We should adopt atheism	against	people should be  free to worship who they want religion can instill good values and morals into people
A12348	We should subsidize journalism	against	subsidizing journalism could raise questions about bias and editorial independence.
A12349	We should abolish safe spaces	against	safe spaces are necessary so that traditionally marginalised groups can interact freely without fear of harm and oppression.
A12350	We should adopt atheism	in favor of	we should adopt athiesm because no religion will stop lots of wars and arguements.
A12351	We should abolish intellectual property rights	against	if we abolish the rights, then companies will stop developing products and ideas as they will know that there is no way they can make back the cost of r&d and so will run at losses
A12352	We should abolish the three-strikes laws	in favor of	Three strikes laws are unnecessary because states already have ways of punishing recidivism more harshly.
A12353	We should subsidize space exploration	against	space exploration doesn't have any immediate benefits for the general public
A12355	We should subsidize Wikipedia	in favor of	we should subsidize wikipedia because wikipedia helps people to learn about any and everything they want to learn about.
A12356	We should adopt a zero-tolerance policy in schools	in favor of	all schools should adopt a zero-tolerance policy as kids need to know they can not act inappropriately at any given moment when in school.
A12357	We should adopt a multi-party system	against	a multiparty system blurs the citizenship of a vision and model of country. we should not adopt a multiparty system because it would waste valuable time to agree
A12358	We should abolish capital punishment	against	If capital punishment is unfairly applied we should focus on fixing that, not abolishing it entirely.
A12360	We should ban cosmetic surgery	against	we should not ban cosmetic surgery because it could help a disfigured person regain confidence.
A12361	We should subsidize student loans	against	tax payers shouldn't have to pay for other people to have an education when they dint get the same chances.
A12362	We should adopt atheism	in favor of	in the interest of world peace we should adopt atheism and would then avoid religious wars
